City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2021-04-11 17:44:27,-46.6,168.3333,46.99,97,53,3.0
68,Punta Arenas,CL,2021-04-11 17:44:17,-53.15,-70.9167,53.6,54,75,13.8
69,Benguela,AO,2021-04-11 17:42:18,-12.5763,13.4055,82.53,79,84,3.36
70,Pierre,US,2021-04-11 17:42:44,44.3683,-100.351,52.0,61,90,28.77
71,Marzuq,YE,2021-04-11 17:44:28,14.4,46.4667,68.5,63,4,7.9
72,Mandalgovi,MN,2021-04-11 17:44:28,45.7625,106.2708,19.38,49,42,18.48
73,Jaragua Do Sul,BR,2021-04-11 17:44:28,-26.4861,-49.0667,89.01,62,0,6.91
74,Cananea,MX,2021-04-11 17:43:15,30.95,-110.3,72.0,20,100,10.33
75,Flin Flon,CA,2021-04-11 17:44:29,54.7682,-101.865,28.4,86,90,10.36
76,Yellowknife,CA,2021-04-11 17:43:14,62.456,-114.3525,-2.2,71,75,6.91
77,Owatonna,US,2021-04-11 17:44:29,44.0839,-93.226,48.0,81,90,14.97
78,Otane,NZ,2021-04-11 17:44:29,-39.8833,176.6333,57.0,95,0,2.35
79,Puerto Ayora,EC,2021-04-11 17:41:14,-0.7393,-90.3518,80.6,78,40,11.5
80,Arraial Do Cabo,BR,2021-04-11 17:44:30,-22.9661,-42.0278,87.8,40,0,11.5
81,Saint-Pierre,RE,2021-04-11 17:44:30,-21.3393,55.4781,78.8,73,0,2.3
82,Lagoa,PT,2021-04-11 17:43:29,39.05,-27.9833,62.85,84,87,7.78
83,Dunedin,NZ,2021-04-11 17:41:03,-45.8742,170.5036,55.99,83,22,1.99
84,Lata,PT,2021-04-11 17:44:30,40.1629,-8.3327,64.0,74,28,3.0
85,Portree,GB,2021-04-11 17:44:31,57.4129,-6.1942,37.0,71,42,4.0
86,Mweka,CD,2021-04-11 17:44:31,-4.85,21.5667,68.54,99,95,6.15
87,Port Lincoln,AU,2021-04-11 17:44:31,-34.7333,135.8667,59.95,57,100,10.96
88,Nara,JP,2021-04-11 17:42:06,34.6851,135.8049,54.0,59,24,3.76
89,Kuusamo,FI,2021-04-11 17:44:31,65.9667,29.1833,35.6,64,0,13.8
90,Namatanai,PG,2021-04-11 17:44:32,-3.6667,152.4333,76.3,91,100,4.76
91,Kloulklubed,PW,2021-04-11 17:44:32,7.0419,134.2556,78.8,89,90,5.1
92,Coffs Harbour,AU,2021-04-11 17:44:32,-30.3,153.1333,55.4,44,0,9.22
93,Okmulgee,US,2021-04-11 17:39:36,35.6234,-95.9605,75.2,27,1,16.11
94,Iqaluit,CA,2021-04-11 17:42:52,63.7506,-68.5145,28.4,86,75,20.71
95,Katherine,AU,2021-04-11 17:44:33,-14.4667,132.2667,73.4,83,84,4.61
96,Cockburn Town,TC,2021-04-11 17:44:33,21.4612,-71.1419,75.83,67,91,17.58
97,Dikson,RU,2021-04-11 17:44:33,73.5069,80.5464,27.55,91,100,27.31
98,Guadalajara,MX,2021-04-11 17:43:13,20.6667,-103.3333,82.99,11,1,9.22
99,Moose Factory,CA,2021-04-11 17:44:33,51.2585,-80.6094,44.6,87,90,9.22
100,Rupert,US,2021-04-11 17:44:34,42.6191,-113.6772,37.4,35,1,14.97
101,Lavrentiya,RU,2021-04-11 17:44:34,65.5833,-171.0,4.35,62,100,32.93
102,Batsfjord,NO,2021-04-11 17:44:34,70.6345,29.7185,30.2,100,75,39.12
103,Ponta Delgada,PT,2021-04-11 17:44:34,37.7333,-25.6667,66.2,88,40,9.22
104,Rumonge,BI,2021-04-11 17:44:35,-3.9736,29.4386,71.96,83,97,2.91
105,Nantucket,US,2021-04-11 17:44:35,41.2835,-70.0995,51.8,87,90,13.8
106,Haines Junction,CA,2021-04-11 17:42:15,60.7522,-137.5108,-4.0,41,93,1.14
107,Morro Bay,US,2021-04-11 17:44:35,35.3658,-120.8499,62.01,71,1,11.5
108,Arandis,NA,2021-04-11 17:44:36,-22.4167,14.9667,90.01,20,2,8.61
109,Faanui,PF,2021-04-11 17:40:57,-16.4833,-151.75,81.46,76,100,11.83
110,Busayra,JO,2021-04-11 17:44:36,30.7376,35.6078,47.64,54,1,6.82
111,Port Elizabeth,ZA,2021-04-11 17:41:00,-33.918,25.5701,64.4,94,0,6.91
112,Lebu,CL,2021-04-11 17:44:36,-37.6167,-73.65,60.53,70,0,15.26
113,Auki,SB,2021-04-11 17:44:36,-8.7676,160.7034,76.96,87,86,2.86
114,Kodiak,US,2021-04-11 17:44:37,57.79,-152.4072,39.2,93,90,14.97
115,Srivardhan,IN,2021-04-11 17:44:37,18.0333,73.0167,81.72,71,0,0.22
116,Kolno,PL,2021-04-11 17:44:37,53.4115,21.9291,60.8,39,0,8.05
117,Kapaa,US,2021-04-11 17:44:38,22.0752,-159.319,68.0,88,75,3.44
118,Jamestown,US,2021-04-11 17:44:38,42.097,-79.2353,66.0,55,75,9.22
119,Kalemie,CD,2021-04-11 17:44:38,-5.9475,29.1947,72.14,81,81,2.44
120,Kawalu,ID,2021-04-11 17:44:38,-7.3817,108.2082,72.73,96,91,1.43
121,Padang,ID,2021-04-11 17:44:39,-0.9492,100.3543,77.0,94,75,5.75
122,Mangan,IN,2021-04-11 17:44:39,27.5167,88.5333,66.81,42,20,6.82
